"","name","url","id","address","crossStreet","lat","lng","postalCode","city","state","country","checkinsCount","usersCount","tipCount","catId","catName","catPluralName","catShortName","phone","formattedPhone","twitter","facebook","facebookUsername","facebookName","pictureUrl","image","rating","canonicalUrl","likesCount","price","rateRemaing"
"11","Letná Beer Garden","http://www.praguebeergarden.com/pubs/post/letna-beer-garden","4d7b811e86cfa1432e7fb5a0","Kostelní","",50.0959948559269,14.4254405998394,"170 00","Praha","Hlavní město Praha","Česká republika",20177,12143,167,"4bf58dd8d48988d117941735","Beer Garden","Beer Gardens","Beer Garden","+420233378208","+420 233 378 208","","","","","https://igx.4sqi.net/img/general/width960/34499389_LopRGJF7ObWUPhTgx7I1eG4VhccpuNcrA1ippqyeMps.jpg","34499389_LopRGJF7ObWUPhTgx7I1eG4VhccpuNcrA1ippqyeMps.jpg",9.3,"https://foursquare.com/v/letn%C3%A1-beer-garden/4d7b811e86cfa1432e7fb5a0",888,"$$","4953"
"12","Letenské sady | Letná Park (Letenské sady)","","4b78047af964a5203bb22ee3","Letenské sady","",50.0962751224456,14.4144058227539,"170 00","Praha","Hlavní město Praha","Česká republika",34120,16700,110,"4bf58dd8d48988d163941735","Park","Parks","Park","","","","","","","https://igx.4sqi.net/img/general/width960/45684139_vLVbWQZbSu510IDJjBky9bTKr8w2uCdCRTmj7oWTaVo.jpg","45684139_vLVbWQZbSu510IDJjBky9bTKr8w2uCdCRTmj7oWTaVo.jpg",9.6,"https://foursquare.com/v/letensk%C3%A9-sady--letn%C3%A1-park/4b78047af964a5203bb22ee3",889,"No Credit Cards","4952"
"13","Kavárna Liberál","https://goout.cz/cs/bar/kavarna-liberal/eet/","50cf6c48e4b0de306bc516ef","Heřmanova 6","Řezáčovo nám.",50.1006011815896,14.4361283627609,"170 00","Praha","Hlavní město Praha","Česká republika",9141,3553,94,"4bf58dd8d48988d16d941735","Café","Cafés","Café","+420732222880","+420 732 222 880","","477317552304952","kavarnaliberal","Kavárna Liberál","https://igx.4sqi.net/img/general/width960/8194280_wJuBjNcja3CSukSh_2xY5wOaRSXMoCq3aRY8NDy8aY0.jpg","8194280_wJuBjNcja3CSukSh_2xY5wOaRSXMoCq3aRY8NDy8aY0.jpg",8.1,"https://foursquare.com/v/kav%C3%A1rna-liber%C3%A1l/50cf6c48e4b0de306bc516ef",308,"$","4951"
"14","Bistro Lanka Döner Kebab","http://www.bistrolanka.cz","4ec64d625c5ce271bc18bb55","Milady Horákové 17","",50.0993188356098,14.4304625007829,"170 00","Praha","Hlavní město Praha","Česká republika",6216,3170,92,"5283c7b4e4b094cb91ec88d8","Doner Restaurant","Doner Restaurants","Doner","+420720173354","+420 720 173 354","","251686091594949","BistroLankaDonerKebab","Bistro Lanka Döner Kebab","https://igx.4sqi.net/img/general/width960/7kxuV0nf2sFtWP6EO9yTz0TMFkQcFHFZXI4ZpZdormE.jpg","7kxuV0nf2sFtWP6EO9yTz0TMFkQcFHFZXI4ZpZdormE.jpg",8.2,"https://foursquare.com/v/bistro-lanka-d%C3%B6ner-kebab/4ec64d625c5ce271bc18bb55",244,"No Credit Cards","4950"
"15","Na Mělníku","http://www.namelniku.cz","4bb110aff964a5204e773ce3","Františka Křížka 745/28","Heřmanova",50.100423,14.430711,"170 00","Praha","Hlavní město Praha","Česká republika",2296,1246,27,"4bf58dd8d48988d11b941735","Pub","Pubs","Pub","+420233378731","+420 233 378 731","","","","","https://igx.4sqi.net/img/general/width960/53299666_gKUAvdgPRCaJoE1oAh7koJrkXDifN-TjPCFFbjfYY9M.jpg","53299666_gKUAvdgPRCaJoE1oAh7koJrkXDifN-TjPCFFbjfYY9M.jpg",4.9,"https://foursquare.com/v/na-m%C4%9Bln%C3%ADku/4bb110aff964a5204e773ce3",28,"$","4949"
"16","Burger Letná","http://www.burgerletna.cz","52304b3811d2c9897e4cc45e","Veletržní 591/41","",50.1015378757826,14.4288853286308,"170 00","Praha","Hlavní město Praha","Česká republika",1217,1099,34,"4bf58dd8d48988d16c941735","Burger Joint","Burger Joints","Burgers","+420775010102","+420 775 010 102","","","","","https://igx.4sqi.net/img/general/width960/7795725_1ycpkpkpMLa5F8hLC4Gm7pPXSMVENWLfzkEgo950tpY.jpg","7795725_1ycpkpkpMLa5F8hLC4Gm7pPXSMVENWLfzkEgo950tpY.jpg",6.3,"https://foursquare.com/v/burger-letn%C3%A1/52304b3811d2c9897e4cc45e",68,"$","4948"
"17","U Bukanýra","http://www.bukanyr.cz","4bb7e28f53649c74637046fb","Nábř. Ludvíka Svobody 1","Štefánikův most",50.0934394308127,14.4276881217957,"110 00","Praha","Hlavní město Praha","Česká republika",4006,3449,28,"4bf58dd8d48988d11f941735","Nightclub","Nightclubs","Nightclub","+420777221705","+420 777 221 705","","","","","https://igx.4sqi.net/img/general/width960/60840210_CpUF4hg2BpMsQKbi0aCLncby4yGxTAs9az_7Rt9gmkY.jpg","60840210_CpUF4hg2BpMsQKbi0aCLncby4yGxTAs9az_7Rt9gmkY.jpg",7.8,"https://foursquare.com/v/u-bukan%C3%BDra/4bb7e28f53649c74637046fb",128,"$$$","4947"
"18","The Chemistry Gallery","http://www.thechemistry.cz","4bf5973e8543ef3b24a5d5e7","Bubenská 1","",50.0980884029549,14.436588494352,"170 00","Praha","Hlavní město Praha","Česká republika",2472,1903,8,"4bf58dd8d48988d1e2931735","Art Gallery","Art Galleries","Art Gallery","+420606649170","+420 606 649 170","","","","","https://igx.4sqi.net/img/general/width960/24547829_DljcBIKVxQpXU7potJjiqzEKjB2J5jyCr98swIzZHfg.jpg","24547829_DljcBIKVxQpXU7potJjiqzEKjB2J5jyCr98swIzZHfg.jpg",8.4,"https://foursquare.com/v/the-chemistry-gallery/4bf5973e8543ef3b24a5d5e7",92,"No Credit Cards","4946"
"19","před NEONE","","53c9c228498e7f3aa75a1145","","",50.098124411669,14.4365619043436,"","","","Česká republika",355,153,0,"4bf58dd8d48988d11f941735","Nightclub","Nightclubs","Nightclub","","","","","","","https://igx.4sqi.net/img/general/width960/100151420_1E1e5FYQwZ4H6bZ-PsX0Ee0VGT74UUZjjjj6Th1KZFw.jpg","100151420_1E1e5FYQwZ4H6bZ-PsX0Ee0VGT74UUZjjjj6Th1KZFw.jpg",6.8,"https://foursquare.com/v/p%C5%99ed-neone/53c9c228498e7f3aa75a1145",7,"$$$","4945"
"20","Ajeto","http://www.klubajeto.cz","4bb7e89bcf2fc9b62a019f02","Šmeralova 5","",50.1006453666564,14.4220171792288,"170 00","Praha","Hlavní město Praha","Česká republika",1317,776,17,"4bf58dd8d48988d116941735","Bar","Bars","Bar","+420233373211","+420 233 373 211","","","","","https://igx.4sqi.net/img/general/width960/11060097_u4GZb-Xw2WcayhASu4JeUJ2j242fiZ9s2UZjkyWPCuY.jpg","11060097_u4GZb-Xw2WcayhASu4JeUJ2j242fiZ9s2UZjkyWPCuY.jpg",6.6,"https://foursquare.com/v/ajeto/4bb7e89bcf2fc9b62a019f02",29,"$$","4944"
"21","Hanavský pavilon","http://www.hanavskypavilon.cz","4ba375c9f964a520e03e38e3","Letenské sady 173","",50.0935973983917,14.4127113803053,"","Praha","Hlavní město Praha","Česká republika",896,1067,19,"4bf58dd8d48988d109941735","Eastern European Restaurant","Eastern European Restaurants","Eastern European","+420233323641","+420 233 323 641","","","","","https://igx.4sqi.net/img/general/width960/1620937_cabu-d1LsKgvGKXiRUqMsBQvgx8uN7MuBtPiSkiGEf8.jpg","1620937_cabu-d1LsKgvGKXiRUqMsBQvgx8uN7MuBtPiSkiGEf8.jpg",6.9,"https://foursquare.com/v/hanavsk%C3%BD-pavilon/4ba375c9f964a520e03e38e3",41,"$$","4943"
"22","Pražský hrad | Prague Castle (Pražský hrad)","http://www.hrad.cz","4b1434a6f964a5202b9f23e3","Pražský hrad","",50.0891254787228,14.4004624129278,"119 08","Praha","Hlavní město Praha","Česká republika",57097,60113,361,"50aaa49e4b90af0d42d5de11","Castle","Castles","Castle","+420224372423","+420 224 372 423","","","","","https://igx.4sqi.net/img/general/width960/13129383_IuJJ7sU758iti1khQoyTW1ftcW0n9Uae0Ug93LdUc3g.jpg","13129383_IuJJ7sU758iti1khQoyTW1ftcW0n9Uae0Ug93LdUc3g.jpg",9.5,"https://foursquare.com/v/pra%C5%BEsk%C3%BD-hrad--prague-castle/4b1434a6f964a5202b9f23e3",2920,"No Credit Cards","4942"
"23","Fraktal","http://www.fraktalbar.cz","4af456b0f964a52074f121e3","Šmeralova 1","Veletržní",50.1002410237129,14.4224980473518,"170 00","Praha","Hlavní město Praha","Česká republika",8071,3580,84,"4bf58dd8d48988d155941735","Gastropub","Gastropubs","Gastropub","+420777794094","+420 777 794 094","","","","","https://igx.4sqi.net/img/general/width960/6156246_Z10WP4cR_yB_gx8iCX4Eht7zp9yWE8KqB-bf2mCsX0U.jpg","6156246_Z10WP4cR_yB_gx8iCX4Eht7zp9yWE8KqB-bf2mCsX0U.jpg",7.9,"https://foursquare.com/v/fraktal/4af456b0f964a52074f121e3",217,"$$","4941"
"24","Na Baště","","4b4b21f1f964a520d69226e3","Letenské Sady","",50.0959516418318,14.4203227758408,"160 00","Praha","Hlavní město Praha","Česká republika",2719,2265,23,"4bf58dd8d48988d11b941735","Pub","Pubs","Pub","+420224373599","+420 224 373 599","","","","","https://igx.4sqi.net/img/general/width960/60850676_qeJoA5KmcDdAjs_ULEWfkVKBX0CgGnaNmObTkbGQmwg.jpg","60850676_qeJoA5KmcDdAjs_ULEWfkVKBX0CgGnaNmObTkbGQmwg.jpg",5.6,"https://foursquare.com/v/na-ba%C5%A1t%C4%9B/4b4b21f1f964a520d69226e3",48,"$","4940"
"25","Ouky Douky","http://www.oukydouky.cz","4af2ec4bf964a52035e921e3","Janovského 14","Heřmanova",50.1004319980917,14.434774518013,"170 00","Praha","Hlavní město Praha","Česká republika",4497,2411,86,"4bf58dd8d48988d16d941735","Café","Cafés","Café","+420266711531","+420 266 711 531","","","","","https://igx.4sqi.net/img/general/width960/zLoKtwM7EPH6UJvZWH4kGO2iMbmcBpiEKlIUoDBesok.jpg","zLoKtwM7EPH6UJvZWH4kGO2iMbmcBpiEKlIUoDBesok.jpg",6.7,"https://foursquare.com/v/ouky-douky/4af2ec4bf964a52035e921e3",123,"$","4939"
"26","Strossmayerovo náměstí","http://cs.wikipedia.org/wiki/Strossmayerovo_náměstí","4ba4d2c6f964a52047b838e3","Strossmayerovo náměstí","",50.0988732119906,14.4332617521286,"170 00","Praha","Hlavní město Praha","Česká republika",20767,9119,23,"4bf58dd8d48988d164941735","Plaza","Plazas","Plaza","","","","","","","https://igx.4sqi.net/img/general/width960/14168383_N4SAlbO9_xis6Wel8hlj8MXFDIHs_Cz3JddojAmS7Sw.jpg","14168383_N4SAlbO9_xis6Wel8hlj8MXFDIHs_Cz3JddojAmS7Sw.jpg",7.1,"https://foursquare.com/v/strossmayerovo-n%C3%A1m%C4%9Bst%C3%AD/4ba4d2c6f964a52047b838e3",134,"","4938"
"27","AC Sparta Praha (Generali Arena)","http://www.sparta.cz/cs/klub/generali-arena.shtml","4b7ba7e2f964a520046a2fe3","Milady Horákové 1066/98","Milady Horákové",50.0994516254484,14.4162730799815,"170 00","Praha","Hlavní město Praha","Česká republika",12766,6756,34,"4bf58dd8d48988d188941735","Soccer Stadium","Soccer Stadiums","Soccer","+420220570323","+420 220 570 323","","","","","https://igx.4sqi.net/img/general/width960/mDAp4AJOu1JsSId88QTJF78uNHiFeD22a7ggzO8PQLs.jpg","mDAp4AJOu1JsSId88QTJF78uNHiFeD22a7ggzO8PQLs.jpg",7.8,"https://foursquare.com/v/ac-sparta-praha-generali-arena/4b7ba7e2f964a520046a2fe3",327,"","4937"
"28","Cross Club","http://www.crossclub.cz","4b055110f964a520b75722e3","Plynární 1096/23","Argentinská",50.1082217274113,14.4432234764099,"170 00","Praha","Hlavní město Praha","Česká republika",18069,11307,193,"4bf58dd8d48988d1e5931735","Music Venue","Music Venues","Music Venue","+420736535010","+420 736 535 010","","124872365383","crossclubprague","CROSS][CLUB - officiall","https://igx.4sqi.net/img/general/width960/qfuxKyZMgAPwwxHc6Uq0Eyo_EDlcSxzIQQxiPswmAPs.jpg","qfuxKyZMgAPwwxHc6Uq0Eyo_EDlcSxzIQQxiPswmAPs.jpg",8.3,"https://foursquare.com/v/cross-club/4b055110f964a520b75722e3",704,"$$","4936"
"29","Plzeňka","","4d321268c6cba35dcfa41d7a","Františka Křížka 28","Heřmanova",50.1004801339716,14.4308731441868,"170 00","Praha","Hlavní město Praha","Česká republika",376,152,3,"4bf58dd8d48988d11b941735","Pub","Pubs","Pub","+420233378770","+420 233 378 770","","","","","https://igx.4sqi.net/img/general/width960/81187694_CwMOpbQQKsBzKeUu9vLwtu267I6kE5uA6UWwZL6oNKs.jpg","81187694_CwMOpbQQKsBzKeUu9vLwtu267I6kE5uA6UWwZL6oNKs.jpg",5.4,"https://foursquare.com/v/plze%C5%88ka/4d321268c6cba35dcfa41d7a",3,"$","4935"
